2022-12-15,متامسک امکان خرید اتریوم از طریق پی‌پل را فراهم می‌کند,59,13
2022-12-14,شرکت استخراج ارزهای دیجیتال بیت‌فارمز به‌دلیل پایین‌بودن قیمت سهام خود از نزدک هشدار دریافت کرد,78,91
2022-12-14,مپل فایننس نسخه دوم پلتفرم خود را عرضه می‌کند,62,20
2022-12-14,فدرال رزرو نرخ بهره را ۰.۵ واحد درصد افزایش داد,428,154
2022-12-14,عبور بیت کوین از ۱۸هزار دلار همزمان با انتظار برای تصمیم فدرال رزرو درباره نرخ بهره,282,95
2022-12-14,نماینده کنگره آمریکا: گنسلر از کلاهبرداری FTX خبردار بوده است,42,88
2022-12-14,دو سناتور آمریکایی لایحه‌ای برای تشدید قوانین پول‌شویی حوزه ارزهای دیجیتال معرفی کردند,46,131
2022-12-14,برخی از اطلاعات حساب کاربران صرافی جمینای نشت کرد,24,83
2022-12-14,آرک اینوست ۳.۲میلیون دلار دیگر از سهام کوین بیس را خریداری کرد,88,22
2022-12-14,استرالیا در سال ۲۰۲۳ چارچوبی برای قانون‌گذاری ارائه‌دهندگان خدمات ارزهای دیجیتال معرفی می‌کند,65,6
2022-12-14,برزیل ارز دیجیتال بانک مرکزی خود را در سال ۲۰۲۴ راه‌اندازی می‌کند,74,6
2022-12-14,بر اساس یک تحقیق جدید، هلند آماده‌ترین کشور برای پذیرش متاورس است,76,6
2022-12-14,کمیسیون بورس و اوراق بهادار آمریکا از اطلس تریدینگ به‌دلیل فریب‌کاری در فروش سهام شکایت کرد,50,7
2022-12-14,بیت کوین در ۷ سال از ۱۰ سال گذشته عملکرد بهتری نسبت به بازارهای مالی داشته است,137,12
2023-01-05,پلتفرم جونو از کاربرانش خواسته است تا دارایی‌های خود را از این پلتفرم خارج کنند,42,31
2023-01-05,ایالات متحده ۴۶۸میلیون دلار سهام رابین‌هود متعلق به FTX را توقیف کرد,81,27
2023-01-05,درخواست قانون‌گذارن ایالات متحده برای توقف خرید وویجر دیجیتال توسط بایننس آمریکا,33,28
2023-01-05,کاهش ۹۵درصدی سرمایه ورودی به صندوق‌های ارز دیجیتال در سال ۲۰۲۲,72,87
2023-01-04,قانون‌گذار مالی نیویورک کوین بیس را به‌دلیل اجرای ناکامل روند احراز هویت جریمه کرد,94,37
2023-01-04,بازرسان اوکراینی به یک صرافی غیرمجاز ارزهای دیجیتال یورش بردند,85,31
2023-01-04,یک کاربر دیفای ۳.۴میلیون دلار توکن GMX را طی یک حمله فیشینگ از دست داد,42,41
2023-01-04,آژانس ملی جرائم بریتانیا یک واحد ویژه ارزهای دیجیتال ایجاد می‌کند,81,21
2023-01-04,آرکان ریسرچ: ۹۲درصد بازار اسپات بیت کوین در اختیار بایننس است,145,43
2023-01-04,لیدو فایننس ۸۰درصد از کل اتریوم‌‌های سهام‌گذاری‌شده را در اختیار دارد,91,20
2023-01-04,هندی‌ها در یک سال گذشته بیش از ۳.۸میلیارد دلار ارز دیجیتال به صرافی‌های خارجی منتقل کردند,84,18
2023-01-04,اندونزی صرافی ارز دیجیتال ملی خود را در سال ۲۰۲۳ راه‌اندازی می‌کند,86,18
2023-01-04,ایالات متحده کارگروه ویژه FTX را برای ردیابی سرمایه سرقت‌شده کابران تشکیل می‌دهد,87,17
2023-01-04,کور ساینتیفیک ۳۷٬۰۰۰ ریگ استخراج سلسیوس را خاموش می‌کند,75,77
2023-01-04,تحلیلگران برنشتاین نسبت به رشد بیت کوین در بلند‌مدت خوش‌بین هستند,227,19
